Quarter,Yield,Temp,Dew,Precip,Wind,Humidity
Q1 2025,8858103.3,26.7,21.52,237.0,3.27,79.1
Q2 2025,-1326768.1,28.51,22.51,328.5,3.62,82.7
Q3 2025,724718.9,30.68,23.29,524.6,2.75,86.1
Q4 2025,-12532335.8,27.66,20.33,426.2,3.42,79.6
Q1 2026,8857052.1,26.7,21.53,237.0,3.27,79.1
Q2 2026,-1322764.7,28.5,22.51,327.7,3.62,82.7
Q3 2026,724760.2,30.67,23.28,524.4,2.75,86.1
Q4 2026,-12524022.2,27.66,20.32,425.9,3.43,79.6
Q1 2027,8856000.8,26.7,21.54,237.0,3.27,79.1
Q2 2027,-1318761.4,28.48,22.51,326.9,3.62,82.7
Q3 2027,724801.5,30.67,23.27,524.2,2.75,86.1
Q4 2027,-12515708.6,27.66,20.31,425.7,3.43,79.5
Q1 2028,8854949.5,26.7,21.54,236.9,3.27,79.1
Q2 2028,-1314758.0,28.46,22.51,326.0,3.63,82.6
Q3 2028,724842.8,30.67,23.26,524.0,2.75,86.1
Q4 2028,-12507395.0,27.66,20.3,425.4,3.44,79.5
Q1 2029,8853898.2,26.7,21.55,236.9,3.27,79.1
Q2 2029,-1310754.6,28.45,22.52,325.2,3.63,82.6
Q3 2029,724884.1,30.67,23.25,523.8,2.74,86.1
Q4 2029,-12499081.3,27.66,20.29,425.1,3.44,79.5
Q1 2030,8852847.0,26.7,21.55,236.9,3.27,79.1
Q2 2030,-1306751.3,28.43,22.52,324.4,3.63,82.6
Q3 2030,724925.4,30.66,23.23,523.6,2.74,86.2
Q4 2030,-12490767.7,27.66,20.27,424.8,3.45,79.4
Q1 2031,8851795.7,26.7,21.56,236.9,3.27,79.1
Q2 2031,-1302747.9,28.41,22.52,323.5,3.64,82.5
Q3 2031,724966.8,30.66,23.22,523.4,2.74,86.2
Q4 2031,-12482454.1,27.66,20.26,424.6,3.45,79.4
Q1 2032,8850744.4,26.7,21.57,236.8,3.27,79.1
Q2 2032,-1298744.6,28.4,22.53,322.7,3.64,82.5
Q3 2032,725008.1,30.66,23.21,523.2,2.74,86.2
Q4 2032,-12474140.5,27.66,20.25,424.3,3.46,79.4
Q1 2033,8849693.2,26.7,21.57,236.8,3.27,79.1
Q2 2033,-1294741.2,28.38,22.53,321.9,3.64,82.5
Q3 2033,725049.4,30.66,23.2,523.0,2.74,86.2
Q4 2033,-12465826.9,27.66,20.24,424.0,3.46,79.3
