Quarter,Yield,Temp,Dew,Precip,Wind,Humidity
Q1 2025,9056823.8,26.88,21.56,242.4,3.3,78.9
Q2 2025,-1337216.2,28.74,22.63,329.6,3.53,83.3
Q3 2025,730377.8,30.65,23.42,532.5,2.79,86.1
Q4 2025,-12586363.3,27.4,20.44,428.0,3.35,80.0
Q1 2026,9075387.6,26.91,21.56,242.9,3.3,78.9
Q2 2026,-1334541.5,28.74,22.65,329.0,3.53,83.3
Q3 2026,730723.9,30.65,23.41,532.9,2.79,86.1
Q4 2026,-12590429.1,27.38,20.44,428.1,3.35,79.9
Q1 2027,9093951.3,26.94,21.57,243.4,3.3,78.9
Q2 2027,-1331866.7,28.75,22.66,328.3,3.53,83.3
Q3 2027,731069.9,30.65,23.41,533.4,2.79,86.1
Q4 2027,-12594494.9,27.35,20.44,428.2,3.35,79.9
Q1 2028,9112515.1,26.97,21.57,243.9,3.3,78.9
Q2 2028,-1329191.9,28.75,22.68,327.7,3.52,83.3
Q3 2028,731416.0,30.65,23.41,533.9,2.79,86.1
Q4 2028,-12598560.7,27.33,20.43,428.4,3.35,79.9
Q1 2029,9131078.8,26.99,21.58,244.5,3.31,78.9
Q2 2029,-1326517.1,28.75,22.69,327.1,3.52,83.3
Q3 2029,731762.1,30.65,23.4,534.4,2.79,86.1
Q4 2029,-12602626.4,27.3,20.43,428.5,3.34,79.9
Q1 2030,9149642.6,27.02,21.58,245.0,3.31,78.9
Q2 2030,-1323842.4,28.76,22.7,326.5,3.52,83.3
Q3 2030,732108.1,30.64,23.4,534.9,2.8,86.1
Q4 2030,-12606692.2,27.28,20.43,428.6,3.34,79.9
Q1 2031,9168206.3,27.05,21.59,245.5,3.31,78.9
Q2 2031,-1321167.6,28.76,22.72,325.9,3.51,83.3
Q3 2031,732454.2,30.64,23.4,535.4,2.8,86.1
Q4 2031,-12610758.0,27.26,20.43,428.7,3.34,79.9
Q1 2032,9186770.1,27.07,21.59,246.0,3.31,78.9
Q2 2032,-1318492.8,28.76,22.73,325.2,3.51,83.3
Q3 2032,732800.3,30.64,23.39,535.9,2.8,86.1
Q4 2032,-12614823.7,27.23,20.43,428.9,3.34,79.9
Q1 2033,9205333.8,27.1,21.6,246.5,3.32,78.9
Q2 2033,-1315818.0,28.77,22.74,324.6,3.51,83.3
Q3 2033,733146.3,30.64,23.39,536.4,2.8,86.1
Q4 2033,-12618889.5,27.21,20.42,429.0,3.34,79.9
Q1 2034,9223897.5,27.13,21.6,247.0,3.32,78.9
Q2 2034,-1313143.3,28.77,22.76,324.0,3.5,83.3
Q3 2034,733492.4,30.64,23.38,536.8,2.8,86.1
Q4 2034,-12622955.3,27.18,20.42,429.1,3.34,79.9
Q1 2035,9242461.3,27.16,21.61,247.5,3.32,78.8
Q2 2035,-1310468.5,28.77,22.77,323.4,3.5,83.3
Q3 2035,733838.5,30.64,23.38,537.3,2.81,86.1
Q4 2035,-12627021.1,27.16,20.42,429.3,3.33,79.9
Q1 2036,9261025.0,27.18,21.61,248.0,3.32,78.8
Q2 2036,-1307793.7,28.77,22.78,322.7,3.5,83.3
Q3 2036,734184.6,30.63,23.38,537.8,2.81,86.1
Q4 2036,-12631086.8,27.14,20.42,429.4,3.33,79.9
Q1 2037,9279588.8,27.21,21.62,248.5,3.33,78.8
Q2 2037,-1305118.9,28.78,22.8,322.1,3.49,83.3
Q3 2037,734530.6,30.63,23.37,538.3,2.81,86.1
Q4 2037,-12635152.6,27.11,20.42,429.5,3.33,79.8
Q1 2038,9298152.5,27.24,21.62,249.0,3.33,78.8
Q2 2038,-1302444.2,28.78,22.81,321.5,3.49,83.3
Q3 2038,734876.7,30.63,23.37,538.8,2.81,86.1
Q4 2038,-12639218.4,27.09,20.41,429.6,3.33,79.8
Q1 2039,9316716.3,27.27,21.63,249.5,3.33,78.8
Q2 2039,-1299769.4,28.78,22.83,320.9,3.49,83.3
Q3 2039,735222.8,30.63,23.37,539.3,2.81,86.1
Q4 2039,-12643284.1,27.06,20.41,429.8,3.33,79.8
Q1 2040,9335280.0,27.29,21.63,250.0,3.33,78.8
Q2 2040,-1297094.6,28.79,22.84,320.3,3.48,83.3
Q3 2040,735568.8,30.63,23.36,539.8,2.81,86.1
Q4 2040,-12647349.9,27.04,20.41,429.9,3.33,79.8
Q1 2041,9353843.8,27.32,21.64,250.5,3.34,78.8
Q2 2041,-1294419.8,28.79,22.85,319.6,3.48,83.3
Q3 2041,735914.9,30.63,23.36,540.3,2.82,86.1
Q4 2041,-12651415.7,27.01,20.41,430.0,3.33,79.8
Q1 2042,9372407.5,27.35,21.64,251.0,3.34,78.8
Q2 2042,-1291745.1,28.79,22.87,319.0,3.48,83.3
Q3 2042,736261.0,30.63,23.36,540.7,2.82,86.1
Q4 2042,-12655481.5,26.99,20.41,430.1,3.32,79.8
Q1 2043,9390971.2,27.37,21.65,251.5,3.34,78.8
Q2 2043,-1289070.3,28.8,22.88,318.4,3.47,83.3
Q3 2043,736607.0,30.62,23.35,541.2,2.82,86.1
Q4 2043,-12659547.2,26.97,20.41,430.3,3.32,79.8
Q1 2044,9409535.0,27.4,21.65,252.0,3.34,78.8
Q2 2044,-1286395.5,28.8,22.89,317.8,3.47,83.3
Q3 2044,736953.1,30.62,23.35,541.7,2.82,86.1
Q4 2044,-12663613.0,26.94,20.4,430.4,3.32,79.8
Q1 2045,9428098.7,27.43,21.66,252.5,3.35,78.8
Q2 2045,-1283720.7,28.8,22.91,317.1,3.47,83.3
Q3 2045,737299.2,30.62,23.35,542.2,2.82,86.1
Q4 2045,-12667678.8,26.92,20.4,430.5,3.32,79.8
Q1 2046,9446662.5,27.46,21.66,253.0,3.35,78.8
Q2 2046,-1281046.0,28.81,22.92,316.5,3.46,83.3
Q3 2046,737645.2,30.62,23.34,542.7,2.83,86.1
Q4 2046,-12671744.5,26.89,20.4,430.7,3.32,79.8
Q1 2047,9465226.2,27.48,21.67,253.5,3.35,78.7
Q2 2047,-1278371.2,28.81,22.93,315.9,3.46,83.3
Q3 2047,737991.3,30.62,23.34,543.2,2.83,86.1
Q4 2047,-12675810.3,26.87,20.4,430.8,3.32,79.7
Q1 2048,9483790.0,27.51,21.67,254.0,3.35,78.7
Q2 2048,-1275696.4,28.81,22.95,315.3,3.46,83.3
Q3 2048,738337.4,30.62,23.34,543.7,2.83,86.1
Q4 2048,-12679876.1,26.85,20.4,430.9,3.31,79.7
Q1 2049,9502353.7,27.54,21.68,254.5,3.36,78.7
Q2 2049,-1273021.6,28.82,22.96,314.7,3.46,83.3
Q3 2049,738683.5,30.61,23.33,544.2,2.83,86.1
Q4 2049,-12683941.9,26.82,20.39,431.0,3.31,79.7
Q1 2050,9520917.5,27.56,21.68,255.1,3.36,78.7
Q2 2050,-1270346.8,28.82,22.98,314.0,3.45,83.3
Q3 2050,739029.5,30.61,23.33,544.6,2.83,86.1
Q4 2050,-12688007.6,26.8,20.39,431.2,3.31,79.7
Q1 2051,9539481.2,27.59,21.69,255.6,3.36,78.7
Q2 2051,-1267672.1,28.82,22.99,313.4,3.45,83.3
Q3 2051,739375.6,30.61,23.32,545.1,2.84,86.1
Q4 2051,-12692073.4,26.77,20.39,431.3,3.31,79.7
Q1 2052,9558044.9,27.62,21.69,256.1,3.36,78.7
Q2 2052,-1264997.3,28.83,23.0,312.8,3.45,83.3
Q3 2052,739721.7,30.61,23.32,545.6,2.84,86.1
Q4 2052,-12696139.2,26.75,20.39,431.4,3.31,79.7
Q1 2053,9576608.7,27.65,21.7,256.6,3.37,78.7
Q2 2053,-1262322.5,28.83,23.02,312.2,3.44,83.3
Q3 2053,740067.7,30.61,23.32,546.1,2.84,86.1
Q4 2053,-12700204.9,26.72,20.39,431.5,3.31,79.7
Q1 2054,9595172.4,27.67,21.71,257.1,3.37,78.7
Q2 2054,-1259647.7,28.83,23.03,311.5,3.44,83.3
Q3 2054,740413.8,30.61,23.31,546.6,2.84,86.1
Q4 2054,-12704270.7,26.7,20.38,431.7,3.31,79.7
Q1 2055,9613736.2,27.7,21.71,257.6,3.37,78.7
Q2 2055,-1256973.0,28.83,23.04,310.9,3.44,83.4
Q3 2055,740759.9,30.6,23.31,547.1,2.84,86.1
Q4 2055,-12708336.5,26.68,20.38,431.8,3.3,79.7
Q1 2056,9632299.9,27.73,21.72,258.1,3.37,78.7
Q2 2056,-1254298.2,28.84,23.06,310.3,3.43,83.4
Q3 2056,741105.9,30.6,23.31,547.6,2.85,86.1
Q4 2056,-12712402.3,26.65,20.38,431.9,3.3,79.7
Q1 2057,9650863.7,27.75,21.72,258.6,3.38,78.7
Q2 2057,-1251623.4,28.84,23.07,309.7,3.43,83.4
Q3 2057,741452.0,30.6,23.3,548.1,2.85,86.1
Q4 2057,-12716468.0,26.63,20.38,432.0,3.3,79.7
Q1 2058,9669427.4,27.78,21.73,259.1,3.38,78.7
Q2 2058,-1248948.6,28.84,23.08,309.1,3.43,83.4
Q3 2058,741798.1,30.6,23.3,548.5,2.85,86.1
Q4 2058,-12720533.8,26.6,20.38,432.2,3.3,79.6
Q1 2059,9687991.2,27.81,21.73,259.6,3.38,78.6
Q2 2059,-1246273.9,28.85,23.1,308.4,3.42,83.4
Q3 2059,742144.2,30.6,23.3,549.0,2.85,86.1
Q4 2059,-12724599.6,26.58,20.38,432.3,3.3,79.6
Q1 2060,9706554.9,27.84,21.74,260.1,3.39,78.6
Q2 2060,-1243599.1,28.85,23.11,307.8,3.42,83.4
Q3 2060,742490.2,30.6,23.29,549.5,2.85,86.2
Q4 2060,-12728665.4,26.56,20.37,432.4,3.3,79.6
Q1 2061,9725118.6,27.86,21.74,260.6,3.39,78.6
Q2 2061,-1240924.3,28.85,23.13,307.2,3.42,83.4
Q3 2061,742836.3,30.59,23.29,550.0,2.86,86.2
Q4 2061,-12732731.1,26.53,20.37,432.6,3.3,79.6
Q1 2062,9743682.4,27.89,21.75,261.1,3.39,78.6
Q2 2062,-1238249.5,28.86,23.14,306.6,3.41,83.4
Q3 2062,743182.4,30.59,23.29,550.5,2.86,86.2
Q4 2062,-12736796.9,26.51,20.37,432.7,3.29,79.6
Q1 2063,9762246.1,27.92,21.75,261.6,3.39,78.6
Q2 2063,-1235574.8,28.86,23.15,306.0,3.41,83.4
Q3 2063,743528.4,30.59,23.28,551.0,2.86,86.2
Q4 2063,-12740862.7,26.48,20.37,432.8,3.29,79.6
Q1 2064,9780809.9,27.94,21.76,262.1,3.4,78.6
Q2 2064,-1232900.0,28.86,23.17,305.3,3.41,83.4
Q3 2064,743874.5,30.59,23.28,551.5,2.86,86.2
Q4 2064,-12744928.4,26.46,20.37,432.9,3.29,79.6
Q1 2065,9799373.6,27.97,21.76,262.6,3.4,78.6
Q2 2065,-1230225.2,28.87,23.18,304.7,3.4,83.4
Q3 2065,744220.6,30.59,23.28,552.0,2.86,86.2
Q4 2065,-12748994.2,26.43,20.36,433.1,3.29,79.6
Q1 2066,9817937.4,28.0,21.77,263.1,3.4,78.6
Q2 2066,-1227550.4,28.87,23.19,304.1,3.4,83.4
Q3 2066,744566.6,30.59,23.27,552.4,2.87,86.2
Q4 2066,-12753060.0,26.41,20.36,433.2,3.29,79.6
